name,departamento,departamento_deparamento_id,muncipio_id
COLONIA ITURRASPE,CASTELLANOS,390,2053
COLONIA LAS CUATRO ESQUINAS,RIO PRIMERO,185,2054
COLONIA LAS PICHANAS,SAN JUSTO,401,2055
COLONIA LIBERTAD,MONTE CASEROS,211,2056
COLONIA LIEBIG S,ITUZAINGO,203,2057
COLONIA MARGARITA,CASTELLANOS,390,2058
COLONIA MARINA,SAN JUSTO,401,2059
COLONIA MASCIAS,GARAY,405,2060
COLONIA MEROU,PARANA,229,2061
COLONIA OFICIAL N° 13,LA PAZ,221,2062
COLONIA OFICIAL N° 3 Y 14,LA PAZ,221,2063
COLONIA OFICIAL N° 5,SAN SALVADOR,230,2064
COLONIA PANDO,SAN ROQUE,204,2065
COLONIA PASTORIL,FORMOSA,235,2066
COLONIA POLANA,SAN IGNACIO,307,2067
COLONIA POPULAR,LIBERTAD,136,2068
COLONIA PROSPERIDAD,SAN JUSTO,401,2069
COLONIA RAQUEL,CASTELLANOS,390,2070
COLONIA REFFINO,PARANA,229,2071
COLONIA ROSA,SAN CRISTOBAL,393,2072
COLONIA SAN ANSELMO Y ALEDAÑAS,COLON,2,2073
COLONIA SAN BARTOLOME,SAN JUSTO,401,2074
COLONIA SAN JUAN,FIGUEROA,421,2075
COLONIA SAN JUSTO,CONCORDIA,233,2076
COLONIA SAN PEDRO,SAN JUSTO,401,2077
COLONIA SANTA MARIA,UTRACAN,259,2078
COLONIA SANTA MARIA Y LAS MARGARITAS,FEDERACION,219,2079
COLONIA SANTA ROSA,CONCEPCION,209,2080
COLONIA SANTA TERESA,GUATRACHE,273,2081
COLONIA SARMIENTO,PATIÑO,236,2082
COLONIA TERESA,SAN JAVIER,398,2083
COLONIA TINCO,RIO HONDO,426,2084
COLONIA TIROLESA,COLON,2,2085
COLONIA TUNAS,FEDERACION,219,2086
COLONIA VALTELINA,SAN JUSTO,401,2087
COLONIA VICENTE AG├£ERO,COLON,2,2088
COLONIA VICTORIA,ELDORADO,310,2089
COLONIA VIDELA,RIO SEGUNDO,187,2090
COLONIA VIGNAUD,SAN JUSTO,401,2091
COLONIA VIRARO,LA PAZ,221,2092
COLONIAS UNIDAS,SARGENTO CABRAL,134,2093
COMALLO,PILCANIYEU,334,2094
COMANDANTE FONTANA,PATIÑO,236,2095
COMANDANTE LUIS PIEDRA BUENA,CORPEN AIKE,386,2096
COMECHINGONES,RIO PRIMERO,185,2097
COMICO,9 DE JULIO,404,2098
COMODORO RIVADAVIA,ESCALANTE,154,2099
COMUNA 1,COMUNA 1,173,2100
COMUNA 10,COMUNA 10,168,2101
COMUNA 11,COMUNA 11,166,2102
COMUNA 12,COMUNA 12,165,2103
COMUNA 13,COMUNA 13,169,2104
COMUNA 14,COMUNA 14,167,2105
COMUNA 15,COMUNA 15,172,2106
COMUNA 2,COMUNA 2,170,2107
COMUNA 3,COMUNA 3,163,2108
COMUNA 4,COMUNA 4,175,2109
COMUNA 5,COMUNA 5,171,2110
COMUNA 6,COMUNA 6,162,2111
COMUNA 7,COMUNA 7,164,2112
COMUNA 8,COMUNA 8,174,2113
COMUNA 9,COMUNA 9,161,2114
CONA NIYEU,9 DE JULIO,404,2115
CONCARAN,CHACABUCO,378,2116
CONCEPCION,CHICLIGASTA,437,2117
