name,municipio,name_id,municipio_id
ALTO PENCOSO,ALTO PENCOSO,413,1686
LAGO FONTANA,ALTO RIO SENGUER,414,1687
ALTO RIO SENGUER,ALTO RIO SENGUER,415,1687
ALTO VERDE,ALTO VERDE Y LOS GUCHEA,416,1688
CORTADERAS,ALTO VERDE Y LOS GUCHEA,417,1688
MONTE RICO VIEJO,ALTO VERDE Y LOS GUCHEA,418,1688
CARRETA QUEMADA,ALTO VERDE Y LOS GUCHEA,419,1688
ALTOS DE CHIPION,ALTOS DE CHIPION,420,1689
SAIHUEQUE CACIQUE,ALUMINE,421,1690
ALUMINE,ALUMINE,422,1690
CHACRA 8,ALUMINE,423,1690
EL CARAMELO,ALVAREZ,424,1691
ALVAREZ,ALVAREZ,425,1691
PASO ITU,ALVEAR,426,1692
LAS PALMITAS,ALVEAR,427,1692
PANCHO CUE,ALVEAR,428,1692
ALVEAR,ALVEAR,429,1692
ALTAMIRA,ALVEAR,430,1692
SANTA ROSA,ALVEAR,431,1692
AGUAPEY,ALVEAR,432,1692
PIRAYU,ALVEAR,433,1692
ARROYO MENDEZ,ALVEAR,434,1692
SANTA ANA,ALVEAR,435,1692
SANTA ISABEL,ALVEAR,436,1692
KILOMETRO 101,ALVEAR,437,1692
MONTE FLORES,ALVEAR,438,1692
ARBILLA,ALVEAR,439,1692
ALVEAR,ALVEAR,440,1692
AMPIMPA,AMAICHA DEL VALLE,441,1693
SALAS,AMAICHA DEL VALLE,442,1693
CALIMONTE,AMAICHA DEL VALLE,443,1693
YASYAMAYO,AMAICHA DEL VALLE,444,1693
LOS ZAZOS,AMAICHA DEL VALLE,445,1693
TIO PUNCO,AMAICHA DEL VALLE,446,1693
AMAICHA DEL VALLE,AMAICHA DEL VALLE,447,1693
EL CARMEN,AMAICHA DEL VALLE,448,1693
EL TIO,AMAICHA DEL VALLE,449,1693
LA HOYADA,AMAICHA DEL VALLE,450,1693
EL PASO,AMAICHA DEL VALLE,451,1693
AMAMA,AMAMA,452,1694
AMBERES,AMBERES,453,1695
SAN ROQUE,AMBOY,454,1696
CERRO PELADO,AMBOY,455,1696
AMBOY,AMBOY,456,1696
AMBROSETTI,AMBROSETTI,457,1697
ACHAVAL RODRIGUEZ,AMBROSETTI,458,1697
JUAN BAUTISTA ALBERDI,AMBUL,459,1698
LOS MORTERITOS,AMBUL,460,1698
BAJO DE CORRALES,AMBUL,461,1698
AMBUL,AMBUL,462,1698
ALTO GRANDE,AMBUL,463,1698
EL MIRADOR,AMBUL,464,1698
AMENABAR,AMENABAR,465,1699
COLONIA FALUCHO,AMENABAR,466,1699
ESTANCIA EL ABOLENGO,AMENABAR,467,1699
CAMPO CULLAK,AMENABAR,468,1699
AMICHA,AMICHA,469,1700
ANA ZUMARAN,ANA ZUMARAN,470,1701
CHASQUIVIL,ANCAJULI,471,1702
SAN JOSE DE CHASQUIVIL,ANCAJULI,472,1702
ANCAJULI,ANCAJULI,473,1702
LOS MOLLES,ANCASTI,474,1703
SAN FRANCISCO,ANCASTI,475,1703
LOS MOGOTES,ANCASTI,476,1703
EL COMEDERO,ANCASTI,477,1703
EL MOJON,ANCASTI,478,1703
LA MAJADA,ANCASTI,479,1703
IPIZCA,ANCASTI,480,1703
AMANA,ANCASTI,481,1703
CONCEPCION,ANCASTI,482,1703
SAN JOSE,ANCASTI,483,1703
LA FALDA,ANCASTI,484,1703
EL SAUCE,ANCASTI,485,1703
NAVAGUIN,ANCASTI,486,1703
ANCASTI,ANCASTI,487,1703
ANQUINCILA,ANCASTI,488,1703
POTRERO DE LOS CORDOBA,ANCASTI,489,1703
EL HUAYCO,ANCASTI,490,1703
LA CANDELARIA,ANCASTI,491,1703
CASA ARMADA,ANCASTI,492,1703
RIO CHICO,ANCASTI,493,1703
TACANA,ANCASTI,494,1703
LAS JUNTAS,ANCASTI,495,1703
RINCO DE IPIZCA,ANCASTI,496,1703
YERBA BUENA,ANCASTI,497,1703
EL TALITA,ANCASTI,498,1703
EL QUEBRACHAL,ANCASTI,499,1703
LA ESTANCITA,ANCASTI,500,1703
LOS BULACIOS,ANCASTI,501,1703
EL TACO,ANCASTI,502,1703
ANCHORENA,ANCHORENA,503,1704
ANDACOLLO,ANDACOLLO,504,1705
LA PRIMAVERA,ANDACOLLO,505,1705
HUARACO,ANDACOLLO,506,1705
CHAQUIAGO,ANDALGALA,507,1706
AMANAO,ANDALGALA,508,1706
HUACO,ANDALGALA,509,1706
ANDALGALA,ANDALGALA,510,1706
LA AGUADA,ANDALGALA,511,1706
MINA CAPILLITAS,ANDALGALA,512,1706
EL COLEGIO,ANDALGALA,513,1706
BARRANCA MOLLE,ANDALGALA,514,1706
VIS VIS,ANDALGALA,515,1706
LA ISLA,ANDALGALA,516,1706
EL QUEMADO,ANDALGALA,517,1706
AGUA VERDE,ANDALGALA,518,1706
EL POTRERO,ANDALGALA,519,1706
CHOYA,ANDALGALA,520,1706
PUERTO ANDRESITO,ANDRESITO,521,1707
DESEADO,ANDRESITO,522,1707
CABUREI,ANDRESITO,523,1707
INTEGRACION,ANDRESITO,524,1707
28 DE DICIEMBRE,ANDRESITO,525,1707
PUERTO DESEADO,ANDRESITO,526,1707
COMANDANTE ANDRESITO,ANDRESITO,527,1707
CABALLERO (SAN ANTONIO),ANDRESITO,528,1707
